userWallet,num_actions,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_deposit,total_borrow,total_repay,total_redeem,repay_to_borrow_ratio,net_flow,active_days,time_span_days,unique_assets_used
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,1,0,0,0,1,0,0.0,0.0,0.0,2012030942630.0,0.0,-2012030942630.0,1,1,1
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,2,2,0,0,0,0,1.1352405889685975e+18,0.0,0.0,0.0,0.0,1.1352405889685975e+18,2,7,2
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1,1,0,0,0,0,4440486156185637.0,0.0,0.0,0.0,0.0,4440486156185637.0,1,1,1
0x002379916ac42a432f3b53f16782d33267debb4c,1,1,0,0,0,0,1.5e+18,0.0,0.0,0.0,0.0,1.5e+18,1,1,1
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2,2,0,0,0,0,2200000.0,0.0,0.0,0.0,0.0,2200000.0,2,6,1
0x0023d9ffe7d793895c5da5833d56c737832ead2b,2,2,0,0,0,0,14997724.0,0.0,0.0,0.0,0.0,14997724.0,1,1,1
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,1,1,0,0,0,0,4999194.0,0.0,0.0,0.0,0.0,4999194.0,1,1,1
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,2,2,0,0,0,0,1.2625001510457944e+16,0.0,0.0,0.0,0.0,1.2625001510457944e+16,2,2,1
0x0024461e7a8ce7157866eaa4c24b702d328250ce,1,0,0,0,1,0,0.0,0.0,0.0,1012775168.0,0.0,-1012775168.0,1,1,1
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1,1,0,0,0,0,2.5e+16,0.0,0.0,0.0,0.0,2.5e+16,1,1,1
0x00246f7813397868b1beec56e1677efa47816dae,44,30,9,2,3,0,3.037908154495825e+21,2.3568e+21,2.3593073098584406e+21,3.03887947484787e+21,1.001063861956229,-9.713203520450068e+17,16,22,1
0x0025a856d01a898bd52286d56c52323b13937b65,1,1,0,0,0,0,1e+17,0.0,0.0,0.0,0.0,1e+17,1,1,1
